dataset,id,fp_sol,Address,SolidityVersion,property,SWC,DASP
SolidiFI,Overflow-Underflow-3,e01ab8b006611d8612a81724edcfdc02,,0.5.1,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-30,acb72f1f3b2898b62d6d841f999e5c77,,0.5.11,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-31,e42f79800a4c6a1bf6fded5cf76c5b5e,,0.5.11,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-32,6e820710a056a4949c7ee0ba07bdd629,,0.5.7,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-33,ee686c1134498ebb2157cb061acc2b75,,0.5.11,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-34,5e4961d7c9d36a805b2dff709a2c61cc,,0.5.11,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-20,3da12140af9541c656baa96decdbb670,,0.5.10,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-21,d813e6a1d3f2a9f4978f49c8912ec63b,,0.5.11,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-35,23cdcd6d3e6ea50e02950ca2383949f3,,0.5.11,['Overflow-Underflow'],[101],[3]
SolidiFI,Timestamp-Dependency-12,a9a2697e134180944bfa16232a11aaa8,,0.6.0,['Timestamp-Dependency'],[116],[8]
SolidiFI,Unchecked-Send-20,a834375dc099e913fc9e7668ac8c1404,,0.5.10,['Unchecked-Send'],[105],[2]
SolidiFI,Unchecked-Send-15,48a46f62a5ee4383d29c9ac00e406b23,,0.5.7,['Unchecked-Send'],[105],[2]
SolidiFI,Overflow-Underflow-37,6118522e73e0a3476fee31c1401c4c1b,,0.5.0,['Overflow-Underflow'],[101],[3]
SolidiFI,Timestamp-Dependency-4,75a1d4f547c131286f22e2f684e7e2ba,,0.6.0,['Timestamp-Dependency'],[116],[8]
SolidiFI,Overflow-Underflow-38,41f84b0b8118d03b17aa7d01c6bb4fe1,,0.5.0,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-22,07dfae0441fd39d7c11c113600f30091,,0.5.1,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-39,786f6d65d4d8cd05531d280e4492f592,,0.5.10,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-4,b7ab48206bb0a06aeda50deceddbeeca,,0.6.0,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-40,420f1e83aba46adbdbb54457e2063152,,0.5.0,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-41,bceadcc140d54735bb49d5d0af2c7c80,,0.6.0,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-42,9a33d7fc8044fae9e5539a2a02a54636,,0.5.11,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-43,6e906316f0492ecfb598521ff96015fd,,0.5.0,['Overflow-Underflow'],[101],[3]
SolidiFI,Unchecked-Send-16,95af986af2c18b06a6d123fec7147dba,,0.5.11,['Unchecked-Send'],[105],[2]
SolidiFI,Overflow-Underflow-44,9ea743102e6c855d6cbb6f49fd06e6b8,,0.5.0,['Overflow-Underflow'],[101],[3]
SolidiFI,Unchecked-Send-17,17186f654d31fa50dc5f33c4eb221a23,,0.5.6,['Unchecked-Send'],[105],[2]
SolidiFI,Re-entrancy-27,5999c905982f6359350d2e4032618cdc,,0.5.0,['Re-entrancy'],[107],[1]
SolidiFI,Re-entrancy-12,e0c2386091ac375d74453bbb0eae8394,,0.6.0,['Re-entrancy'],[107],[1]
SolidiFI,Overflow-Underflow-45,9ce5a7a2ef0c8c83b45196bdd10d3840,,0.5.11,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-46,692b867f51eccbcd595c923fd9fbbff7,,0.6.0,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-23,e96ac06cbc1f57f65cb97d5b9c94ad67,,0.5.2,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-47,1b3486dac06eb803b92f74b3f15e66e5,,0.5.11,['Overflow-Underflow'],[101],[3]
SolidiFI,Overflow-Underflow-48,d13fdf3c09cdc6be10c4a23c84872801,,0.5.11,['Overflow-Underflow'],[101],[3]
SolidiFI,Unchecked-Send-18,188ab807816ab491981f51fb9c18ac69,,0.5.9,['Unchecked-Send'],[105],[2]
