contractAddress,Mythril_Labels,Mythril_AnalysisTime,Mythril_SWC_Code,Mythril_SWC_Title,Mythril_DASP_Rank,Mythril_DASP_Title
68274dd0420f2a50c800c48696c56aee,safe,10.903264984,,,,
dde77fad873fc09aca4825971a6bf4ab,safe,7.052574578,,,,
4c7eda457bb013264b3a749886513cbf,safe,3.331084249,,,,
0d379be1f89da0c9303fb0bf0000422d,safe,1.727519934,,,,
177cc199d3f91975d6ef41a0bdc10092,safe,1.486661684,,,,
3a2ed5b89a493350ceb4433b4acbeb25,safe,1.564125689,,,,
6da06530ead7f32f03184d306bad327b,safe,67.695760659,,,,
c33058cac05024bd675282d6c677b6a6,safe,1.868785258,,,,
7848a47f82448ab51c7cbd690123fc16,safe,7.002447867,,,,
705913f4fe05f8e6e445d1e3727d34ca,safe,1.038455869,,,,
9595c31849e19c65ec423fbd5035a595,safe,63.172596856,,,,
59f438041a2de5dbd6af27db74567660,safe,5.956425851,,,,
dc2bf8112b5a1f0f0e46007727ee4f5b,safe,4.649453976,,,,
8f7ae3d52fc17414ed141f1cb4fe3ed0,safe,2.603547383,,,,
9eb97ca8a665e2fe3e2f85eb28caaf9d,safe,1.061963634,,,,
efe5ebd718c6afa9c24214bb4373b40d,safe,1.076791256,,,,
a25eaf6c167062c2d664cebccee1c0c6,safe,1.067245813,,,,
17b9b05e6a5a9ebc217790cca9af537d,safe,1.059682146,,,,
5b2d5d9f0b175c925807af7945344b72,safe,1.048877229,,,,
ebf9a12353f50c3020be7a9e435cccd4,safe,1.064086124,,,,
0d45253014762b2d7f59265e47c70f34,safe,1.034769123,,,,
dfb5e171d127be05bb85ece327756da5,safe,9.507003161,,,,
7dd18947d3efac54b62c6a39ba041466,safe,1.358798560,,,,
ec3a556742f883e7d185dc9d92b2e517,safe,8.697698945,,,,
965d1c5fdf46282f799cc3bb7e29770d,safe,6.665156593,,,,
c95eab7cb390c02c35b58527b2853485,safe,11.723078888,,,,
51b82cd091f192493f43dd2934e1b2fc,safe,7.297856911,,,,
d13fdf3c09cdc6be10c4a23c84872801,safe,11.805143408,,,,
25da2b1b1e77bba58cf234eac71ad996,safe,1.982528837,,,,
dfa832e10daf56a32699db3250437f77,safe,4.294590326,,,,
f643dbc3bfb94b20c1b275ca79c8646e,safe,1.910755951,,,,
36a8d214d776783849bbd6c36d8efd3c,safe,3.382457455,,,,
01dd4a2eacf1f751bcf9070bca20c3a2,safe,3.651729155,,,,
cfc47ebc88ae67c25c2961c2f9aca2a6,safe,1.169431440,,,,
486df61daddf1427e8c3271b508d554a,safe,1.913358490,,,,
43b3a5495b7c935c55cc97f0d62111b5,safe,11.893062251,,,,
6b6a8dfd8e972fc8210eb8c8350036d3,safe,1.079144950,,,,
b20557f8492c066371c4b71436181689,safe,10.272373962,,,,
814a9f9ceedc8c5059d301ce58bc3a51,safe,1.674103562,,,,
82f07116ae65b2cfbb79bb9b0b985a56,safe,1.082321941,,,,
2596839d2345f66c2722d4cfed4eec5e,safe,1.048081543,,,,
937fce5301f17228271e13f48fc9ac89,safe,1.630369602,,,,
b1523f4fa53a0d4a093da369e2e796b2,safe,1.079913638,,,,
196fdafa09f4801b6d5ff867976a19c3,safe,9.329263824,,,,
d8fde2db7a33dfd514317f4d1be94f63,safe,10.943662199,,,,
