contractAddress,Slither_Labels,Slither_AnalysisTime,Slither_SWC_Code,Slither_SWC_Title,Slither_DASP_Rank,Slither_DASP_Title
68274dd0420f2a50c800c48696c56aee,"['uninitialized-state', 'events-maths', 'solc-version', 'naming-convention', 'reentrancy-unlimited-gas', 'similar-names', 'constable-states', 'external-function']",.451545109,"[124.0, 107.0]","['Write to Arbitrary Storage Location', 'Reentrancy']","[2.0, 1.0]","['Access Control', 'Reentrancy']"
dde77fad873fc09aca4825971a6bf4ab,"['arbitrary-send-eth', 'reentrancy-eth', 'solc-version', 'low-level-calls', 'naming-convention', 'reentrancy-unlimited-gas', 'similar-names', 'constable-states', 'external-function']",.420815448,"[105.0, 107.0, 104.0]","['Unprotected Ether Withdrawal', 'Reentrancy', 'Unchecked Call Return Value']","[2.0, 1.0, 4.0]","['Access Control', 'Reentrancy', 'Unchecked Return Values For Low Level Calls']"
4c7eda457bb013264b3a749886513cbf,"['arbitrary-send-erc20', 'arbitrary-send-eth', 'events-access', 'missing-zero-check', 'calls-loop', 'solc-version', 'naming-convention', 'reentrancy-unlimited-gas']",.321185925,"[105.0, 113.0, 107.0]","['Unprotected Ether Withdrawal', 'DoS with Failed Call', 'Reentrancy']","[2.0, 5.0, 1.0]","['Access Control', 'DoS', 'Reentrancy']"
0d379be1f89da0c9303fb0bf0000422d,"['solc-version', 'naming-convention']",.281484293,[],[],[],[]
177cc199d3f91975d6ef41a0bdc10092,"['deprecated-standards', 'solc-version', 'low-level-calls', 'naming-convention', 'too-many-digits', 'erc20-indexed', 'unused-state', 'constable-states', 'external-function']",.332860281,"[104.0, 131.0]","['Unchecked Call Return Value', 'Presence of unused variables']","[4.0, 10.0]","['Unchecked Return Values For Low Level Calls', 'Unknown Unknowns']"
3a2ed5b89a493350ceb4433b4acbeb25,"['incorrect-equality', 'timestamp', 'solc-version', 'naming-convention', 'too-many-digits', 'external-function']",.295435610,[116.0],['Block values as a proxy for time'],[8.0],['Time manipulation']
6da06530ead7f32f03184d306bad327b,"['arbitrary-send-eth', 'reentrancy-eth', 'uninitialized-state', 'divide-before-multiply', 'reentrancy-no-eth', 'unused-return', 'events-maths', 'missing-zero-check', 'reentrancy-benign', 'reentrancy-events', 'dead-code', 'deprecated-standards', 'solc-version', 'low-level-calls', 'missing-inheritance', 'naming-convention', 'reentrancy-unlimited-gas', 'similar-names', 'unimplemented-functions', 'constable-states', 'external-function']",.521495468,"[105.0, 107.0, 124.0, 104.0]","['Unprotected Ether Withdrawal', 'Reentrancy', 'Write to Arbitrary Storage Location', 'Unchecked Call Return Value']","[2.0, 1.0, 4.0]","['Access Control', 'Reentrancy', 'Unchecked Return Values For Low Level Calls']"
c33058cac05024bd675282d6c677b6a6,"['missing-zero-check', 'solc-version', 'naming-convention', 'external-function']",.295308752,[105.0],['Unprotected Ether Withdrawal'],[2.0],['Access Control']
7848a47f82448ab51c7cbd690123fc16,"['controlled-delegatecall', 'assembly', 'dead-code', 'solc-version', 'low-level-calls', 'naming-convention', 'unused-state', 'external-function']",.449805177,"[106.0, 104.0, 131.0]","['Unprotected SELFDESTRUCT Instruction', 'Unchecked Call Return Value', 'Presence of unused variables']","[2.0, 4.0, 10.0]","['Access Control', 'Unchecked Return Values For Low Level Calls', 'Unknown Unknowns']"
9595c31849e19c65ec423fbd5035a595,"['arbitrary-send-eth', 'shadowing-state', 'uninitialized-state', 'constant-function-asm', 'divide-before-multiply', 'incorrect-equality', 'reentrancy-no-eth', 'uninitialized-local', 'unused-return', 'shadowing-builtin', 'shadowing-local', 'missing-zero-check', 'reentrancy-benign', 'reentrancy-events', 'timestamp', 'void-cst', 'assembly', 'dead-code', 'solc-version', 'naming-convention', 'similar-names', 'unused-state', 'external-function']",1.234816083,"[105.0, 119.0, 124.0, 107.0, 104.0, 116.0, 131.0]","['Unprotected Ether Withdrawal', 'Shadowing State Variables', 'Write to Arbitrary Storage Location', 'Reentrancy', 'Unchecked Call Return Value', 'Block values as a proxy for time', 'Presence of unused variables']","[2.0, 10.0, 1.0, 4.0, 8.0]","['Access Control', 'Unknown Unknowns', 'Reentrancy', 'Unchecked Return Values For Low Level Calls', 'Time manipulation']"
59f438041a2de5dbd6af27db74567660,"['shadowing-abstract', 'events-access', 'costly-loop', 'dead-code', 'function-init-state', 'solc-version', 'naming-convention', 'too-many-digits', 'external-function']",.388395604,[119.0],['Shadowing State Variables'],[10.0],['Unknown Unknowns']
dc2bf8112b5a1f0f0e46007727ee4f5b,"['erc20-interface', 'events-maths', 'solc-version', 'naming-convention', 'reentrancy-unlimited-gas', 'too-many-digits', 'external-function']",.329342769,[107.0],['Reentrancy'],[1.0],['Reentrancy']
8f7ae3d52fc17414ed141f1cb4fe3ed0,"['shadowing-state', 'divide-before-multiply', 'events-maths', 'missing-zero-check', 'timestamp', 'dead-code', 'solc-version', 'naming-convention', 'reentrancy-unlimited-gas']",.338276625,"[119.0, 105.0, 116.0, 107.0]","['Shadowing State Variables', 'Unprotected Ether Withdrawal', 'Block values as a proxy for time', 'Reentrancy']","[10.0, 2.0, 8.0, 1.0]","['Unknown Unknowns', 'Access Control', 'Time manipulation', 'Reentrancy']"
9eb97ca8a665e2fe3e2f85eb28caaf9d,"['reentrancy-no-eth', 'shadowing-builtin', 'events-maths', 'missing-zero-check', 'reentrancy-benign', 'reentrancy-events', 'deprecated-standards', 'solc-version', 'low-level-calls', 'naming-convention', 'similar-names', 'erc20-indexed', 'unused-state', 'constable-states']",.460378173,"[107.0, 105.0, 104.0, 131.0]","['Reentrancy', 'Unprotected Ether Withdrawal', 'Unchecked Call Return Value', 'Presence of unused variables']","[1.0, 2.0, 4.0, 10.0]","['Reentrancy', 'Access Control', 'Unchecked Return Values For Low Level Calls', 'Unknown Unknowns']"
efe5ebd718c6afa9c24214bb4373b40d,"['arbitrary-send-eth', 'shadowing-state', 'suicidal', 'incorrect-equality', 'reentrancy-no-eth', 'shadowing-builtin', 'shadowing-local', 'events-access', 'missing-zero-check', 'reentrancy-benign', 'reentrancy-events', 'deprecated-standards', 'solc-version', 'low-level-calls', 'naming-convention', 'erc20-indexed', 'unused-state', 'constable-states', 'external-function']",.458715556,"[105.0, 119.0, 106.0, 107.0, 104.0, 131.0]","['Unprotected Ether Withdrawal', 'Shadowing State Variables', 'Unprotected SELFDESTRUCT Instruction', 'Reentrancy', 'Unchecked Call Return Value', 'Presence of unused variables']","[2.0, 10.0, 1.0, 4.0]","['Access Control', 'Unknown Unknowns', 'Reentrancy', 'Unchecked Return Values For Low Level Calls']"
a25eaf6c167062c2d664cebccee1c0c6,"['timestamp', 'deprecated-standards', 'solc-version', 'naming-convention', 'too-many-digits', 'unused-state', 'constable-states', 'external-function']",.312184007,"[116.0, 131.0]","['Block values as a proxy for time', 'Presence of unused variables']","[8.0, 10.0]","['Time manipulation', 'Unknown Unknowns']"
