contractAddress,Solhint_Labels,Solhint_AnalysisTime,Solhint_SWC_Code,Solhint_SWC_Title,Solhint_DASP_Rank,Solhint_DASP_Title
68274dd0420f2a50c800c48696c56aee,"['compiler-version' 'contract-name-camelcase' 'max-states-count'
 'state-visibility' 'var-name-mixedcase' 'func-name-mixedcase'
 'reason-string' 'custom-errors' 'reentrancy' 'quotes'
 'visibility-modifier-order' 'explicit-types' nan]",.794517290,"[102.0, 108.0, 107.0]","['Outdated Compiler Version', 'State Variable Default Visibility', 'Reentrancy']","[10, 1]","['Unknown Unknowns', 'Reentrancy']"
dde77fad873fc09aca4825971a6bf4ab,"['compiler-version' 'contract-name-camelcase' 'max-states-count'
 'state-visibility' 'var-name-mixedcase' 'func-name-mixedcase'
 'reason-string' 'custom-errors' 'reentrancy' 'explicit-types'
 'avoid-low-level-calls' 'avoid-call-value' nan]",.704679352,"[102.0, 108.0, 107.0, 104.0]","['Outdated Compiler Version', 'State Variable Default Visibility', 'Reentrancy', 'Unchecked Call Return Value']","[10, 1, 4]","['Unknown Unknowns', 'Reentrancy', 'Unchecked Return Values For Low Level Calls']"
4c7eda457bb013264b3a749886513cbf,"['one-contract-per-file' 'compiler-version' 'contract-name-camelcase'
 'reason-string' 'custom-errors' 'explicit-types' 'no-complex-fallback'
 'mark-callable-contracts' 'check-send-result' nan]",.697282162,"[102.0, 104.0]","['Outdated Compiler Version', 'Unchecked Call Return Value']","[10, 5, 4]","['Unknown Unknowns', 'DoS', 'Unchecked Return Values For Low Level Calls']"
0d379be1f89da0c9303fb0bf0000422d,"['compiler-version' 'contract-name-camelcase' 'reason-string'
 'custom-errors' nan]",.688934462,[102.0],['Outdated Compiler Version'],[10],['Unknown Unknowns']
177cc199d3f91975d6ef41a0bdc10092,"['one-contract-per-file' 'compiler-version' 'func-visibility'
 'no-empty-blocks' 'mark-callable-contracts' 'state-visibility'
 'payable-fallback' 'avoid-throw' 'quotes' 'avoid-low-level-calls'
 'avoid-sha3' nan]",.689365301,"[102.0, 100.0, 108.0, 104.0]","['Outdated Compiler Version', 'Function Default Visibility', 'State Variable Default Visibility', 'Unchecked Call Return Value']","[10, 4]","['Unknown Unknowns', 'Unchecked Return Values For Low Level Calls']"
3a2ed5b89a493350ceb4433b4acbeb25,"['compiler-version' 'contract-name-camelcase' 'func-name-mixedcase'
 'explicit-types' 'not-rely-on-time' 'avoid-tx-origin' nan]",.677405438,"[102.0, 116.0, 115.0]","['Outdated Compiler Version', 'Block values as a proxy for time', 'Authorization through tx.origin']","[10, 8, 2]","['Unknown Unknowns', 'Time manipulation', 'Access Control']"
6da06530ead7f32f03184d306bad327b,"['one-contract-per-file' 'compiler-version' 'func-visibility'
 'reason-string' 'custom-errors' 'visibility-modifier-order'
 'mark-callable-contracts' 'explicit-types' 'var-name-mixedcase'
 'avoid-low-level-calls' 'avoid-sha3' 'state-visibility'
 'const-name-snakecase' 'no-empty-blocks' 'max-states-count'
 'not-rely-on-time' 'reentrancy' nan]",.800251355,"[102.0, 100.0, 104.0, 108.0, 116.0, 107.0]","['Outdated Compiler Version', 'Function Default Visibility', 'Unchecked Call Return Value', 'State Variable Default Visibility', 'Block values as a proxy for time', 'Reentrancy']","[10, 4, 8, 1]","['Unknown Unknowns', 'Unchecked Return Values For Low Level Calls', 'Time manipulation', 'Reentrancy']"
c33058cac05024bd675282d6c677b6a6,"['compiler-version' 'contract-name-camelcase' 'func-name-mixedcase'
 'reason-string' 'custom-errors' 'avoid-tx-origin' 'state-visibility' nan]",.655157399,"[102.0, 115.0, 108.0]","['Outdated Compiler Version', 'Authorization through tx.origin', 'State Variable Default Visibility']","[10, 2]","['Unknown Unknowns', 'Access Control']"
7848a47f82448ab51c7cbd690123fc16,"['one-contract-per-file' 'compiler-version' 'reason-string'
 'custom-errors' 'var-name-mixedcase' 'explicit-types' 'state-visibility'
 'avoid-low-level-calls' 'payable-fallback' 'no-complex-fallback'
 'no-inline-assembly' 'mark-callable-contracts' nan]",.731806816,"[102.0, 108.0, 104.0]","['Outdated Compiler Version', 'State Variable Default Visibility', 'Unchecked Call Return Value']","[10, 4, 5]","['Unknown Unknowns', 'Unchecked Return Values For Low Level Calls', 'DoS']"
705913f4fe05f8e6e445d1e3727d34ca,"['one-contract-per-file' 'compiler-version' 'no-empty-blocks' 'quotes'
 'explicit-types' 'avoid-throw' 'func-visibility' 'not-rely-on-time'
 'mark-callable-contracts' 'check-send-result' 'reentrancy'
 'no-complex-fallback' 'reason-string' 'custom-errors' nan]",.737514278,"[102.0, 100.0, 116.0, 104.0, 107.0]","['Outdated Compiler Version', 'Function Default Visibility', 'Block values as a proxy for time', 'Unchecked Call Return Value', 'Reentrancy']","[10, 8, 4, 1, 5]","['Unknown Unknowns', 'Time manipulation', 'Unchecked Return Values For Low Level Calls', 'Reentrancy', 'DoS']"
